location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
51,2025-10-04,2025-10-18,2,2,13.0,13.0,0.0,1.0,13.0,16.0,23.0,2025-10-04,2025-10-18,persistence
51,2025-10-04,2025-10-25,3,3,12.0,12.0,0.0,0.0,12.0,16.0,23.0,2025-10-04,2025-10-25,persistence
51,2025-10-04,2025-11-01,4,4,11.0,11.0,0.0,0.0,11.0,15.0,23.0,2025-10-04,2025-11-01,persistence
53,2025-10-04,2025-10-11,1,1,4.0,4.0,0.0,0.0,4.0,7.0,14.0,2025-10-04,2025-10-11,persistence
53,2025-10-04,2025-10-18,2,2,4.0,4.0,0.0,0.0,4.0,7.0,14.0,2025-10-04,2025-10-18,persistence
53,2025-10-04,2025-10-25,3,3,3.0,3.0,0.0,0.0,3.0,7.0,14.0,2025-10-04,2025-10-25,persistence
53,2025-10-04,2025-11-01,4,4,2.0,2.0,0.0,0.0,2.0,6.0,14.0,2025-10-04,2025-11-01,persistence
54,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-11,persistence
54,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-18,persistence
54,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2025-10-04,2025-10-25,persistence
54,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2025-10-04,2025-11-01,persistence
55,2025-10-04,2025-10-11,1,1,5.0,5.0,0.0,0.0,5.0,8.0,15.0,2025-10-04,2025-10-11,persistence
55,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,0.0,5.0,8.0,15.0,2025-10-04,2025-10-18,persistence
55,2025-10-04,2025-10-25,3,3,4.0,4.0,0.0,0.0,4.0,8.0,15.0,2025-10-04,2025-10-25,persistence
55,2025-10-04,2025-11-01,4,4,3.0,3.0,0.0,0.0,3.0,7.0,15.0,2025-10-04,2025-11-01,persistence
56,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-11,persistence
56,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-18,persistence
56,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-25,persistence
